	CHANNEL	AIR_DATE	TIME	DURATION	REF_ID	TITLE	EVENT_NAT_DEF
5946	J2	2019-11-03	10:30:30	20	BTD0668942	SWEET:RUNNINGM(CJ)21=A	Promo
5947	TVBFIN	2019-11-03	10:30:39	20	JTD9801944	LIZA'S ON LINE-&=A	Promo
5948	J2	2019-11-03	10:30:50	5	S19074	SWEETDREAM MATTRESS SP:RUNNIN B.B	Commercial Tag on
5949	J2	2019-11-03	10:30:55	20	JTD9804447	INSPIRING JOUR-&=A	Promo
5950	TVBFIN	2019-11-03	10:30:59	20	JUD9662911	FARAWAY BRIDES-&=A	Promo
5951	TVBFIN	2019-11-03	10:31:19	15	T18074	TRIVAGO.COM-DAD	Commercial
5952	TVBFIN	2019-11-03	10:31:34	15	C22121	CENTRO	Commercial
5953	TVBFIN	2019-11-03	10:31:49	30	M32709	MIELE KITCHEN - GENERATION 7000  NDL	Commercial
5954	TVBFIN	2019-11-03	10:32:19	30	R06019	ROAD SAFETY-ILLICT DRUGS       RS 154	API / GIS
5955	TVBFIN	2019-11-03	10:32:49	10	AGN1184396	HAITONG:WARRANT(1055-=	Promo
5956	TVBFIN	2019-11-03	10:32:59	5	H17385	HAI TONG INT'N PR:WARR.BB	Commercial Tag on
5957	TVBFIN	2019-11-03	10:33:04	20	JTD9701943	KAIPO:HOME FLAVORS-&=A	Promo
5958	TVBFIN	2019-11-03	10:33:24	15	AID0001215	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
5959	TVBNews	2019-11-03	10:37:52	30	W16257	WING MING STRONG SEAL PILLS	Commercial
5960	TVBNews	2019-11-03	10:38:22	10	S19607	SUPPORT HK-ARTISTS-#19	Commercial
5961	TVBNews	2019-11-03	10:38:32	20	E07743	ETC FINANCE-FEMALE	Commercial
5962	TVBNews	2019-11-03	10:38:52	20	JTD9804447	INSPIRING JOUR-&=A	Promo
5963	TVBNews	2019-11-03	10:39:12	30	AGN1196432	LEEMANSAN:BATTLE(193=A	Promo
5964	TVBNews	2019-11-03	10:39:42	20	JUDA674452	9-1-1(TUE223(C(A	Promo
5965	TVBNews	2019-11-03	10:40:02	20	JUD9886445	FINDING VOICE-&=A	Promo
5966	TVBNews	2019-11-03	10:40:22	20	JTDA626447	WK:10 CLOV(TD213(C(A	Promo
5967	TVBNews	2019-11-03	10:40:42	10	CGNA022261	GLORY:SZ-HK-SH 095,152	Promo
5968	J2	2019-11-03	10:44:35	10	GDP	JADE SOLID GOLD	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
5969	J2	2019-11-03	10:44:45	20	BTDA416447	GROWING UP(SUN1835A	Promo
5970	J2	2019-11-03	10:45:05	20	BUDA161434	SWEETS FAN(CJ)1930=A	Promo
5971	J2	2019-11-03	10:45:25	30	O07267	ORAL B-OCP ENGINEER TB/TP GUMLINE	Commercial
5972	J2	2019-11-03	10:45:55	15	C22121	CENTRO	Commercial
5973	TVBFIN	2019-11-03	10:46:01	10	JTD9719944	ON THE RECORD(11-=M	Promo
5974	J2	2019-11-03	10:46:10	15	P16470	PAMPERS LE PANTS S7	Commercial
5975	TVBFIN	2019-11-03	10:46:11	10	CGNA052426	TAISHAN:CARING ELDERLY	Promo
5976	TVBFIN	2019-11-03	10:46:21	15	M32023	MAX CHOICE-BLACK MACA	Commercial
5977	J2	2019-11-03	10:46:25	15	S19477	SEVEN SEAS JOINT CARE	Commercial
5978	TVBFIN	2019-11-03	10:46:36	10	B10594	BIG B.S.-FISH MAW/PRESERVED MEAT	Commercial
5979	J2	2019-11-03	10:46:40	15	F44130	FILM:TERMINATOR DARK FATE-TD     4-830	Commercial
5980	TVBFIN	2019-11-03	10:46:46	20	C22429	CREDIT ONE FINANCE	Commercial
5981	J2	2019-11-03	10:46:55	15	K08024	KAYAK TRAVEL APP.	Commercial
5982	TVBFIN	2019-11-03	10:47:06	10	AGN1197421	WELL LINK:CHI ARC(19&=	Promo
5983	J2	2019-11-03	10:47:10	20	R07977	REDOXON	Commercial
5984	TVBFIN	2019-11-03	10:47:16	4	W16285	WELL LINK LIFE SP:NEW CHINA B.B.	Commercial Tag on
5985	TVBFIN	2019-11-03	10:47:21	20	JED0234017	ANN ED(LIZA ONLINE-&=A	Promo
5986	J2	2019-11-03	10:47:30	30	R06019	ROAD SAFETY-ILLICT DRUGS       RS 154	API / GIS
5987	J2	2019-11-03	10:48:00	20	JTD9484447	DO DID EAT-&=A	Promo
5988	J2	2019-11-03	10:48:20	10	BIDA001002	"STATION ID(10"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
5989	TVBNews	2019-11-03	10:52:50	10	M31705	MA PAK LEUNG PR:HISTORICAL B.B.	Commercial
5990	TVBNews	2019-11-03	10:56:11	10	L08076	LONADERM CREAM	Commercial
5991	TVBNews	2019-11-03	10:56:21	20	E07743	ETC FINANCE-FEMALE	Commercial
5992	TVBNews	2019-11-03	10:56:41	20	JGT7113444	YOU'RE HIRED(2350-&=A	Promo
5993	TVBNews	2019-11-03	10:57:01	20	JGNA850002	ANNIVERSARY SP CP2(C(A	Promo
5994	TVBNews	2019-11-03	10:57:21	120	JIM0234021	52 ANN(MEMORY-&=	Promo
5995	TVBFIN	2019-11-03	10:57:43	10	GDP	70 YEARS.SUCCESSORS	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
5996	TVBFIN	2019-11-03	10:57:53	20	JTD9484447	DO DID EAT-&=A	Promo
5997	J2	2019-11-03	10:58:36	20	BUDA386431	KUONI:HIP-SCAN(203=A	Promo
5998	J2	2019-11-03	10:58:56	20	BUDA405451	ALL THINGS(MTTF2205A	Promo
5999	J2	2019-11-03	10:59:16	10	BGN0421432	WORLD'S NO.1(CJ)2030=A	Promo
6000	TVBNews	2019-11-03	10:59:21	20	BTDA370447	AIRLAND:OWN HOME(CJ)=A	Promo
6001	J2	2019-11-03	10:59:26	20	JTD9701943	KAIPO:HOME FLAVORS-&=A	Promo
6002	TVBNews	2019-11-03	10:59:41	10	CGNA050391	CCBANK:LOOK AT GBA	Promo
6003	TVBNews	2019-11-03	10:59:51	10	CIDA001002	"STATION ID(10"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6004	TVBFIN	2019-11-03	11:00:13	10	GDP	A CULINARY ROADTRIP III	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6005	TVBFIN	2019-11-03	11:00:23	20	AGT1099437	37TH GYM(1430-=A	Promo
6006	TVBFIN	2019-11-03	11:00:43	15	M31701	BOOM SECURITIES	Commercial
6007	TVBFIN	2019-11-03	11:00:58	30	T17873	TRIVAGO.COM-DAD	Commercial
6008	TVBFIN	2019-11-03	11:01:28	30	H17347	HKMC ANNUITY BRANDING - MG14	Commercial
6009	TVBFIN	2019-11-03	11:01:58	10	AGN0893421	PRINCEJE:EARTHLIVE	Promo
6010	TVBFIN	2019-11-03	11:02:08	10	P16999	PRINCE J.& W SP:EARTH LIVE-TAGON	Commercial Tag on
6011	TVBFIN	2019-11-03	11:02:18	20	AUD1029845	VITAL LIFELINE(203-=A	Promo
6012	TVBFIN	2019-11-03	11:02:38	10	AID0001210	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6013	TVBFIN	2019-11-03	11:02:48	3	AAN0005012	INDIRECT AD WARNING	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6014	TVBNews	2019-11-03	11:11:39	10	T18754	TAISHAN CHARITABLE PR:ELDERLY B.B	Commercial
6015	TVBNews	2019-11-03	11:11:49	20	E07743	ETC FINANCE-FEMALE	Commercial
6016	TVBNews	2019-11-03	11:12:09	20	JGTA800002	EXTREME CAKE(TD200(C(A	Promo
6017	TVBNews	2019-11-03	11:12:29	60	JLH9844445	LEGEND PHOENIX(TS1-&=A	Promo
6018	J2	2019-11-03	11:12:41	20	JIM0234023	52 ANN(FOODCOURT-&=	Promo
6019	J2	2019-11-03	11:13:01	10	BGNA417431	WHAT'S UP(MON 1900=A	Promo
6020	J2	2019-11-03	11:13:11	20	P16989	PROMISE FINANCE #BCO	Commercial
6021	TVBNews	2019-11-03	11:13:29	10	AGN1116005	GREAT RAILWAY V(183-=A	Promo
6022	J2	2019-11-03	11:13:31	15	K08024	KAYAK TRAVEL APP.	Commercial
6023	TVBNews	2019-11-03	11:13:39	20	JTD9701943	KAIPO:HOME FLAVORS-&=A	Promo
6024	J2	2019-11-03	11:13:46	20	C22879	COLTAIN HOT REMEDY	Commercial
6025	TVBNews	2019-11-03	11:13:59	10	CGNA026191	SHK:ALL ABOUT PROPERTY	Promo
6026	J2	2019-11-03	11:14:06	20	N10320	NIVEA BODY LOTION	Commercial
6027	TVBNews	2019-11-03	11:14:09	30	F43611	FIGHT CRIME-ANTI-DECEPTION     FC 145	API / GIS
6028	J2	2019-11-03	11:14:26	10	M32731	MYTV SUPER-18 HIT RATE           4-830	Commercial
6029	J2	2019-11-03	11:14:36	15	S19666	SHAMSHUIPO CELEBRATION-TVB WEEKLY	Commercial
6030	J2	2019-11-03	11:14:51	30	S19476	SEVEN SEAS JOINT CARE	Commercial
6031	J2	2019-11-03	11:15:21	30	F43611	FIGHT CRIME-ANTI-DECEPTION     FC 145	API / GIS
6032	J2	2019-11-03	11:15:51	20	JUDA842451	BEN FOGLE:RE(MON213(C(	Promo
6033	TVBNews	2019-11-03	11:21:05	20	JTD9801944	LIZA'S ON LINE-&=A	Promo
6034	TVBNews	2019-11-03	11:21:25	10	CGNA051401	HAITONG:FINANCIAL NEWS	Promo
6035	TVBFIN	2019-11-03	11:22:03	20	JTD9804447	INSPIRING JOUR-&=A	Promo
6036	TVBFIN	2019-11-03	11:22:23	10	AGN1116005	GREAT RAILWAY V(183-=A	Promo
6037	TVBFIN	2019-11-03	11:22:33	30	T17873	TRIVAGO.COM-DAD	Commercial
6038	TVBFIN	2019-11-03	11:23:03	15	H17160	HONG WAH PROPERTY	Commercial
6039	TVBFIN	2019-11-03	11:23:18	10	P16808	PRINCE JEWELLERY	Commercial
6040	TVBFIN	2019-11-03	11:23:28	30	B10554	BIG B.S.-ESSENCE/S.FOOD/SKIN CARE	Commercial
6041	TVBFIN	2019-11-03	11:23:58	30	F43611	FIGHT CRIME-ANTI-DECEPTION     FC 145	API / GIS
6042	TVBFIN	2019-11-03	11:24:28	15	AGN0984009	SUCCESS:TIPS(2130-=A	Promo
6043	TVBFIN	2019-11-03	11:24:43	5	S18742	SUCCESS SP:INVESTMENT-OP	Commercial Tag on
6044	TVBFIN	2019-11-03	11:24:48	15	JUD9988445	BILLION PROP:LO&BE-&=A	Promo
6045	TVBNews	2019-11-03	11:26:30	20	G07361	GIORMANI-SESAME STREET-LAST DAY	Commercial
6046	TVBNews	2019-11-03	11:26:50	20	P16973	PROMISE FINANCE #PAN	Commercial
6047	TVBNews	2019-11-03	11:27:10	10	CGNA046266	TITAN:WELFARE WEEKLY	Promo
6048	TVBNews	2019-11-03	11:27:20	20	AGT1099437	37TH GYM(1430-=A	Promo
6049	TVBNews	2019-11-03	11:27:40	20	JED0234015	ANN ED(WONDER W-&=A	Promo
6050	J2	2019-11-03	11:27:49	10	BUDA352004	SIDEWALK(FRI 1900=A	Promo
6051	J2	2019-11-03	11:27:59	20	AUD1125446	CCT OIL:RETIREMENT-&=A	Promo
6052	TVBNews	2019-11-03	11:28:00	20	JUD9929445	KONEW:MAN WHO KILL-&=A	Promo
6053	J2	2019-11-03	11:28:19	10	H16474	HOTELS COMBINED.COM	Commercial
6054	TVBNews	2019-11-03	11:28:20	30	AUD1069444	LEADER(2030-&=A	Promo
6055	J2	2019-11-03	11:28:29	20	R07977	REDOXON	Commercial
6056	J2	2019-11-03	11:28:49	15	F43673	FOUR SEA FISH DUMPLING	Commercial
6057	TVBNews	2019-11-03	11:28:50	20	JGTA077001	SHOWER(1530)(LB(C	Promo
6058	J2	2019-11-03	11:29:04	30	S19459	SWEETDREAM MATTRESSES	Commercial
6059	TVBNews	2019-11-03	11:29:10	10	CGNA015011	RICHFIELD:NEWS FILE	Promo
6060	TVBNews	2019-11-03	11:29:20	30	F42594	FEHD-LITTERING FROM VEHICLES   FH 61	API / GIS
6061	J2	2019-11-03	11:29:34	15	C22849	CHINESE ESSENCE HAIR CARE	Commercial
6062	J2	2019-11-03	11:29:49	10	B10593	BIG B.S.-MINI WASHING DEVICE	Commercial
6063	TVBNews	2019-11-03	11:29:50	10	CIDA001002	"STATION ID(10"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6064	J2	2019-11-03	11:29:59	20	C22879	COLTAIN HOT REMEDY	Commercial
6065	J2	2019-11-03	11:30:19	30	F42594	FEHD-LITTERING FROM VEHICLES   FH 61	API / GIS
6066	J2	2019-11-03	11:30:49	10	BGNA379436	WAROTEN(CJ)SATSUN180(A	Promo
6067	J2	2019-11-03	11:30:59	20	JTD9801944	LIZA'S ON LINE-&=A	Promo
6068	TVBFIN	2019-11-03	11:36:31	15	JTD9280447	ZURICH W:FIN MAG-=	Promo
6069	TVBFIN	2019-11-03	11:36:46	20	JTD9801944	LIZA'S ON LINE-&=A	Promo
6070	TVBFIN	2019-11-03	11:37:06	30	B10562	BIG B.S.-RECRUITMENT	Commercial
6071	TVBFIN	2019-11-03	11:37:36	15	G06949	GLOBAL INT'L CREDIT-MORTGAGE	Commercial
6072	TVBFIN	2019-11-03	11:37:51	15	E07766	EXPEDIA.COM	Commercial
6073	TVBFIN	2019-11-03	11:38:06	30	F42594	FEHD-LITTERING FROM VEHICLES   FH 61	API / GIS
6074	TVBFIN	2019-11-03	11:38:36	30	AGN1196432	LEEMANSAN:BATTLE(193=A	Promo
6075	TVBFIN	2019-11-03	11:39:06	5	L09186	LEE MAN SHAN SP:BATTLE B.B.	Commercial Tag on
6076	TVBFIN	2019-11-03	11:39:11	10	CGTA045266	HKFI:WELLNESS EXPRESS	Promo
6077	TVBNews	2019-11-03	11:41:08	10	P16879	PIEN TZE HUANG SP:NEW VISION B.B.	Commercial
6078	TVBNews	2019-11-03	11:41:18	20	G07361	GIORMANI-SESAME STREET-LAST DAY	Commercial
6079	TVBNews	2019-11-03	11:41:38	15	M32639	MASK HOUSE-CELEBRITY-MANNINGS	Commercial
6080	J2	2019-11-03	11:41:39	10	GDP	HORSE RACING DAY	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6081	J2	2019-11-03	11:41:49	30	BUDA420456	SUSPICION(SAT 2215A	Promo
6082	TVBNews	2019-11-03	11:41:53	10	CGN0003191	AIRLAND:TRAFFIC074,081	Promo
6083	TVBNews	2019-11-03	11:42:03	20	JGTA812012	AMERICA GOT(TD203(C(A	Promo
6084	J2	2019-11-03	11:42:19	15	P16470	PAMPERS LE PANTS S7	Commercial
6085	TVBNews	2019-11-03	11:42:23	30	AUD1185443	INSIDE STORM II(193-=A	Promo
6086	J2	2019-11-03	11:42:34	30	H17270	HONG LEONG INSURANCE #DOMESTIC	Commercial
6087	TVBNews	2019-11-03	11:42:53	20	JUD9886445	FINDING VOICE-&=A	Promo
6088	J2	2019-11-03	11:43:04	30	B10554	BIG B.S.-ESSENCE/S.FOOD/SKIN CARE	Commercial
6089	TVBNews	2019-11-03	11:43:13	10	JGNA178271	PASTOR JOSE(0700(LB(C	Promo
6090	TVBNews	2019-11-03	11:43:23	15	AGN0984009	SUCCESS:TIPS(2130-=A	Promo
6091	J2	2019-11-03	11:43:34	5	H17083	HIN SANG PIPA JUHONG HONEY	Commercial
6092	TVBNews	2019-11-03	11:43:38	20	JIM0234425	TVB ANN IMAGE(ID-&=	Promo
6093	J2	2019-11-03	11:43:39	15	K08024	KAYAK TRAVEL APP.	Commercial
6094	J2	2019-11-03	11:43:54	20	P16989	PROMISE FINANCE #BCO	Commercial
6095	TVBNews	2019-11-03	11:43:58	10	CGTA045266	HKFI:WELLNESS EXPRESS	Promo
6096	J2	2019-11-03	11:44:14	60	JLH9844445	LEGEND PHOENIX(TS1-&=A	Promo
6097	J2	2019-11-03	11:45:14	5	BIDA001001	"STATION ID(5"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6098	J2	2019-11-03	11:45:19	10	BANA002004	LANG ANN(IN CANT/ENG)	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6099	TVBFIN	2019-11-03	11:49:20	30	JTD0361447	PROG PRESENT 2020-&=A	Promo
6100	TVBFIN	2019-11-03	11:49:50	40	JLH9978445	HCL PILL:DOD(TR1-&=A	Promo
6101	TVBFIN	2019-11-03	11:50:30	30	A10303	AVIVA YACHT SERVICES	Commercial
6102	TVBFIN	2019-11-03	11:51:00	30	M32691	MYTV SUPER-ANYWHERE-MACAU DRAMA	Commercial
6103	TVBFIN	2019-11-03	11:51:30	10	JGN5800036	SHBK:STOCK(J+FIN=N	Promo
6104	TVBFIN	2019-11-03	11:51:40	5	S18511	SHANGHAI COMM'L BK-STOCK EXCH.TAG	Commercial Tag on
6105	TVBNews	2019-11-03	11:53:40	20	P16989	PROMISE FINANCE #BCO	Commercial
6106	TVBNews	2019-11-03	11:54:00	15	W16308	WELLCOME-FISH F./DIM SUM/APPLE #A	Commercial
6107	TVBNews	2019-11-03	11:54:15	20	BTDA370447	AIRLAND:OWN HOME(CJ)=A	Promo
6108	TVBNews	2019-11-03	11:54:35	40	JLH9978445	HCL PILL:DOD(TR1-&=A	Promo
6109	TVBNews	2019-11-03	11:55:15	30	AUD1231444	FOOD DELI(193-&=A	Promo
6110	TVBNews	2019-11-03	11:55:45	15	JGNA851003	HAITONG(MTTF1135W114(C	Promo
6111	TVBNews	2019-11-03	11:56:00	30	JCP0366421	ANN DRAMA CP-&=A	Promo
6112	TVBNews	2019-11-03	11:56:30	10	CGN0014381	MIDLAND:A CLOSER LOOK	Promo
6113	TVBNews	2019-11-03	11:59:30	10	C22862	CHINA CONSTRUCTION BK SP:GBA B.B.	Commercial
6114	TVBNews	2019-11-03	11:59:40	10	AGN1116005	GREAT RAILWAY V(183-=A	Promo
6115	TVBNews	2019-11-03	11:59:50	10	CIDA001002	"STATION ID(10"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6116	TVBFIN	2019-11-03	12:01:30	10	GDP	CHILD OF OUR TIME	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6117	TVBFIN	2019-11-03	12:01:40	20	C22811	CHINA RESOURCES GROUP INFO	Info Service Count as Program Time
6118	TVBFIN	2019-11-03	12:02:00	5	C22748	CHINA RESOURCES GP INFO B.B.	Info Service Count as Program Time
6119	TVBFIN	2019-11-03	12:02:05	20	JTD9484447	DO DID EAT-&=A	Promo
6120	TVBFIN	2019-11-03	12:02:25	15	K07889	KENGOSTORE.COM #B	Commercial
6121	TVBFIN	2019-11-03	12:02:40	10	B10593	BIG B.S.-MINI WASHING DEVICE	Commercial
6122	TVBFIN	2019-11-03	12:02:50	10	S19597	SUPPORT HK-ARTISTS-#9	Commercial
6123	TVBFIN	2019-11-03	12:03:00	10	AGN0898036	PARIBAS:WAR(LB(0945-=N	Promo
6124	TVBFIN	2019-11-03	12:03:10	5	B08785	BNP SP:WARRANTS-OP	Commercial Tag on
6125	TVBFIN	2019-11-03	12:03:15	20	JUD9929445	KONEW:MAN WHO KILL-&=A	Promo
6126	TVBFIN	2019-11-03	12:03:35	10	AID0001210	FIN & INFO(ID	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6127	TVBFIN	2019-11-03	12:03:45	3	AAN0005012	INDIRECT AD WARNING	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6128	J2	2019-11-03	12:09:44	10	BGTA370447	AIRLAND:OWN HOME(CJ)=A	Promo
6129	J2	2019-11-03	12:09:54	15	BUDA325451	BIG BOYS(M-FRI(A	Promo
6130	J2	2019-11-03	12:10:09	30	E07769	EA-2019 DC ELECTION(POLLING    EA 393	API / GIS
6131	J2	2019-11-03	12:10:39	20	BUDA386431	KUONI:HIP-SCAN(203=A	Promo
6132	J2	2019-11-03	12:10:59	15	JUD9988445	BILLION PROP:LO&BE-&=A	Promo
6133	TVBNews	2019-11-03	12:12:00	10	H17378	HK JOCKEY CLUB:SPORTSPEDIA B.B.	Commercial
6134	TVBNews	2019-11-03	12:12:10	5	B10556	BLESS DR.DETOX	Commercial
6135	TVBNews	2019-11-03	12:12:15	30	M32690	MYTV SUPER-ANYWHERE-MACAU DRAMA	Commercial
6136	TVBNews	2019-11-03	12:12:45	15	CGNA020451	CHEUNG KK:BEHIND(M-F)	Promo
6137	TVBNews	2019-11-03	12:13:00	20	JTD9484447	DO DID EAT-&=A	Promo
6138	TVBNews	2019-11-03	12:13:20	10	AGN0898036	PARIBAS:WAR(LB(0945-=N	Promo
6139	TVBNews	2019-11-03	12:13:30	10	BGN0825943	ORGANIZED(CJ)2100=A	Promo
6140	TVBNews	2019-11-03	12:13:40	20	JUD9662911	FARAWAY BRIDES-&=A	Promo
6141	TVBNews	2019-11-03	12:14:00	20	AGT1099437	37TH GYM(1430-=A	Promo
6142	TVBNews	2019-11-03	12:14:20	10	CGN0017381	MIDLAND:MARKET OP(0930	Promo
6143	TVBNews	2019-11-03	12:14:30	30	E07769	EA-2019 DC ELECTION(POLLING    EA 393	API / GIS
6144	TVBFIN	2019-11-03	12:16:12	10	G@WGJ1	WEATHER CHECK (PROMISE)	Info Service Count as Program Time
6145	TVBFIN	2019-11-03	12:16:22	4	P16991	PROMISE-WEATHER CHECK	Commercial
6146	TVBFIN	2019-11-03	12:16:27	20	P16972	PROMISE FINANCE #CFO	Commercial
6147	TVBFIN	2019-11-03	12:16:47	20	JTD9801944	LIZA'S ON LINE-&=A	Promo
6148	TVBFIN	2019-11-03	12:17:07	30	M32610	MYTV SUPER-GIGI COOK	Commercial
6149	TVBFIN	2019-11-03	12:17:37	10	J04190	J.P.MORGAN:WARRANTS PROMO	Commercial
6150	TVBFIN	2019-11-03	12:17:47	30	E07769	EA-2019 DC ELECTION(POLLING    EA 393	API / GIS
6151	TVBFIN	2019-11-03	12:18:17	20	AUD0981845	CENTA:CPROP(2130-=A	Promo
6152	TVBFIN	2019-11-03	12:18:37	5	C22545	CENTALINE SP:CLOSER LOOK B.B.	Commercial Tag on
6153	TVBFIN	2019-11-03	12:18:42	20	JUD9886445	FINDING VOICE-&=A	Promo
6154	J2	2019-11-03	12:24:41	20	BTDA416447	GROWING UP(SUN1835A	Promo
6155	J2	2019-11-03	12:25:01	10	BGNA414431	HEART SURGEONS(M-F(A	Promo
6156	J2	2019-11-03	12:25:11	15	K08024	KAYAK TRAVEL APP.	Commercial
6157	J2	2019-11-03	12:25:26	20	P16989	PROMISE FINANCE #BCO	Commercial
6158	J2	2019-11-03	12:25:46	30	M32585	MYTV SUPER-CH.18 RACING PRESENT. 4-830	Commercial
6159	TVBNews	2019-11-03	12:26:00	15	T18722	TIAN YUAN XIANG-CHICKEN ESSENCE	Commercial
6160	TVBNews	2019-11-03	12:26:15	30	J04224	JETOUR TRAVEL	Commercial
6161	J2	2019-11-03	12:26:16	10	S19602	SUPPORT HK-ARTISTS-#14	Commercial
6162	J2	2019-11-03	12:26:26	15	C22087	COTTEX-DISNEY-TVB WEEKLY #A	Commercial
6163	J2	2019-11-03	12:26:41	15	A10473	ALLERGIC RHINITIS NOSE DROPS	Commercial
6164	TVBNews	2019-11-03	12:26:45	10	CGN0005341	CENTRO:GLOBAL(M-F)2240	Promo
6165	TVBNews	2019-11-03	12:26:55	15	JTD9281447	SUN REPORT-=	Promo
6166	J2	2019-11-03	12:26:56	30	H17470	HAB-TREASURE HK OUR HOME(II)   HB 192	API / GIS
6167	TVBNews	2019-11-03	12:27:10	10	AGN0896055	UBS:WARRANT(1035-=	Promo
6168	TVBNews	2019-11-03	12:27:20	90	JIM0234020	52 ANN(MEMORY-&=	Promo
6169	J2	2019-11-03	12:27:26	30	JCP0366421	ANN DRAMA CP-&=A	Promo
6170	TVBNews	2019-11-03	12:28:50	20	JTDA626447	WK:10 CLOV(TD213(C(A	Promo
6171	TVBNews	2019-11-03	12:29:10	10	CGTA028001	MPL:HK HISTORICAL	Promo
6172	TVBNews	2019-11-03	12:29:20	30	H17470	HAB-TREASURE HK OUR HOME(II)   HB 192	API / GIS
6173	TVBNews	2019-11-03	12:29:50	10	CIDA001002	"STATION ID(10"")"	Station ID / Stay tune / Announcement / PG Warning / Station Opening / Station Closing / Test Pattern
6174	TVBFIN	2019-11-03	12:34:26	20	JUD9662911	FARAWAY BRIDES-&=A	Promo
6175	TVBFIN	2019-11-03	12:34:46	15	E07598	EGO FINANCE #H	Commercial
6176	TVBFIN	2019-11-03	12:35:01	30	M32578	MA PAK LEUNG ON KUNG PILLS	Commercial
6177	TVBFIN	2019-11-03	12:35:31	10	B10542	BOCI SECURITIES-PROMO	Commercial
6178	TVBFIN	2019-11-03	12:35:41	30	H17470	HAB-TREASURE HK OUR HOME(II)   HB 192	API / GIS
6179	TVBFIN	2019-11-03	12:36:11	10	AGN1129001	CENTA:PROP X(151/174=A	Promo
6180	TVBFIN	2019-11-03	12:36:21	5	C22430	CENTALINE SP:EXPRESS B.B.	Commercial Tag on
6181	TVBFIN	2019-11-03	12:36:26	20	JTD9701943	KAIPO:HOME FLAVORS-&=A	Promo
6182	TVBNews	2019-11-03	12:38:04	5	B10565	BLESS JUICE (AIRPORT)	Commercial
6183	TVBNews	2019-11-03	12:38:09	20	G07361	GIORMANI-SESAME STREET-LAST DAY	Commercial
6184	TVBNews	2019-11-03	12:38:29	30	C22519	CHIMELONG OCEAN-ZHUHAI	Commercial
6185	TVBNews	2019-11-03	12:38:59	15	JTD9280447	ZURICH W:FIN MAG-=	Promo
6186	TVBNews	2019-11-03	12:39:14	10	AGN0897055	MORGAN:WARRANT(1010-=	Promo
6187	TVBNews	2019-11-03	12:39:24	20	JUDA842451	BEN FOGLE:RE(MON213(C(	Promo
6188	TVBNews	2019-11-03	12:39:44	20	JIM0234425	TVB ANN IMAGE(ID-&=	Promo
6189	TVBNews	2019-11-03	12:40:04	30	AUD1069444	LEADER(2030-&=A	Promo
6190	J2	2019-11-03	12:40:06	20	BTD0668942	SWEET:RUNNINGM(CJ)21=A	Promo
6191	J2	2019-11-03	12:40:26	30	A10505	AQ BIO SANITIZER	Commercial
6192	TVBNews	2019-11-03	12:40:34	20	JGTA077001	SHOWER(1530)(LB(C	Promo
6193	TVBNews	2019-11-03	12:40:54	10	CGNA030001	QIVARO:MEDICAL	Promo
6194	J2	2019-11-03	12:40:56	20	P16989	PROMISE FINANCE #BCO	Commercial
6195	J2	2019-11-03	12:41:16	20	N10320	NIVEA BODY LOTION	Commercial
6196	J2	2019-11-03	12:41:36	20	C22879	COLTAIN HOT REMEDY	Commercial
6197	J2	2019-11-03	12:41:56	10	B10594	BIG B.S.-FISH MAW/PRESERVED MEAT	Commercial
6198	TVBFIN	2019-11-03	12:47:46	20	JTD9804447	INSPIRING JOUR-&=A	Promo
6199	TVBFIN	2019-11-03	12:48:06	15	T18074	TRIVAGO.COM-DAD	Commercial
6200	TVBFIN	2019-11-03	12:48:21	15	H16889	28HSE.COM	Commercial
6201	TVBFIN	2019-11-03	12:48:36	30	S19440	SME PACKAGE PROMO	Commercial
6202	TVBFIN	2019-11-03	12:49:06	20	AUD0975845	EGO:DREAM(2130-=A	Promo
6203	TVBFIN	2019-11-03	12:49:26	9	E07603	EGO FINANCE SP:DREAM HOME B.B.	Commercial Tag on
